x,y,id,time
20.0,0.0,0.0,0.0
20.0,1.0,0.0,1.0
20.0,2.0,0.0,2.0
20.0,3.0,0.0,3.0
20.0,4.0,0.0,4.0
20.0,5.0,0.0,5.0
20.0,6.0,0.0,6.0
20.0,7.0,0.0,7.0
20.0,8.0,0.0,8.0
20.0,9.0,0.0,9.0
20.0,10.0,0.0,10.0
20.0,11.0,0.0,11.0
20.0,12.0,0.0,12.0
20.0,13.0,0.0,13.0
20.0,14.0,0.0,14.0
20.0,15.0,0.0,15.0
20.0,16.0,0.0,16.0
20.0,17.0,0.0,17.0
20.0,18.0,0.0,18.0
20.0,19.0,0.0,19.0
20.0,20.0,0.0,20.0
20.0,21.0,0.0,21.0
20.0,22.0,0.0,22.0
20.0,23.0,0.0,23.0
20.0,24.0,0.0,24.0
20.0,25.0,0.0,25.0
20.0,26.0,0.0,26.0
20.0,27.0,0.0,27.0
20.0,28.0,0.0,28.0
20.0,29.0,0.0,29.0
20.0,30.0,0.0,30.0
20.0,31.0,0.0,31.0
20.0,32.0,0.0,32.0
20.0,33.0,0.0,33.0
20.0,34.0,0.0,34.0
20.0,35.0,0.0,35.0
20.0,36.0,0.0,36.0
20.0,37.0,0.0,37.0
20.0,38.0,0.0,38.0
20.0,39.0,0.0,39.0
20.0,40.0,0.0,40.0
20.0,41.0,0.0,41.0
20.0,42.0,0.0,42.0
20.0,43.0,0.0,43.0
20.0,44.0,0.0,44.0
20.0,45.0,0.0,45.0
20.0,46.0,0.0,46.0
20.0,47.0,0.0,47.0
20.0,48.0,0.0,48.0
20.0,49.0,0.0,49.0
20.0,50.0,0.0,50.0
20.0,51.0,0.0,51.0
20.0,52.0,0.0,52.0
20.0,53.0,0.0,53.0
20.0,54.0,0.0,54.0
20.0,55.0,0.0,55.0
20.0,56.0,0.0,56.0
20.0,57.0,0.0,57.0
20.0,58.0,0.0,58.0
20.0,59.0,0.0,59.0
20.0,60.0,0.0,60.0
20.0,61.0,0.0,61.0
20.0,62.0,0.0,62.0
20.0,63.0,0.0,63.0
20.0,64.0,0.0,64.0
20.0,65.0,0.0,65.0
20.0,66.0,0.0,66.0
20.0,67.0,0.0,67.0
20.0,68.0,0.0,68.0
20.0,69.0,0.0,69.0
20.0,70.0,0.0,70.0
20.0,71.0,0.0,71.0
20.0,72.0,0.0,72.0
20.0,73.0,0.0,73.0
20.0,74.0,0.0,74.0
20.0,75.0,0.0,75.0
20.0,76.0,0.0,76.0
20.0,77.0,0.0,77.0
20.0,78.0,0.0,78.0
20.0,79.0,0.0,79.0
20.0,80.0,0.0,80.0
20.0,81.0,0.0,81.0
20.0,82.0,0.0,82.0
20.0,83.0,0.0,83.0
20.0,84.0,0.0,84.0
20.0,85.0,0.0,85.0
20.0,86.0,0.0,86.0
20.0,87.0,0.0,87.0
20.0,88.0,0.0,88.0
20.0,89.0,0.0,89.0
20.0,90.0,0.0,90.0
20.0,91.0,0.0,91.0
20.0,92.0,0.0,92.0
20.0,93.0,0.0,93.0
20.0,94.0,0.0,94.0
20.0,95.0,0.0,95.0
20.0,96.0,0.0,96.0
20.0,97.0,0.0,97.0
20.0,98.0,0.0,98.0
20.0,99.0,0.0,99.0
20.0,100.0,0.0,100.0
35.0,0.0,1.0,0.0
35.0,1.3,1.0,1.0
35.0,2.6,1.0,2.0
35.0,3.9000000000000004,1.0,3.0
35.0,5.2,1.0,4.0
35.0,6.5,1.0,5.0
35.0,7.8,1.0,6.0
35.0,9.1,1.0,7.0
35.0,10.4,1.0,8.0
35.0,11.700000000000001,1.0,9.0
35.0,13.000000000000002,1.0,10.0
35.0,14.300000000000002,1.0,11.0
35.0,15.600000000000003,1.0,12.0
35.0,16.900000000000002,1.0,13.0
35.0,18.200000000000003,1.0,14.0
35.0,19.500000000000004,1.0,15.0
35.0,20.800000000000004,1.0,16.0
35.0,22.100000000000005,1.0,17.0
35.0,23.400000000000006,1.0,18.0
35.0,24.700000000000006,1.0,19.0
35.0,26.000000000000007,1.0,20.0
35.0,27.300000000000008,1.0,21.0
35.0,28.60000000000001,1.0,22.0
35.0,29.90000000000001,1.0,23.0
35.0,31.20000000000001,1.0,24.0
35.0,32.50000000000001,1.0,25.0
35.0,33.800000000000004,1.0,26.0
35.0,35.1,1.0,27.0
35.0,36.4,1.0,28.0
35.0,37.699999999999996,1.0,29.0
35.0,38.99999999999999,1.0,30.0
35.0,40.29999999999999,1.0,31.0
35.0,41.59999999999999,1.0,32.0
35.0,42.899999999999984,1.0,33.0
35.0,44.19999999999998,1.0,34.0
35.0,45.49999999999998,1.0,35.0
35.0,46.799999999999976,1.0,36.0
35.0,48.09999999999997,1.0,37.0
35.0,49.39999999999997,1.0,38.0
35.0,50.69999999999997,1.0,39.0
35.0,51.999999999999964,1.0,40.0
35.0,53.29999999999996,1.0,41.0
35.0,54.59999999999996,1.0,42.0
35.0,55.899999999999956,1.0,43.0
35.0,57.19999999999995,1.0,44.0
35.0,58.49999999999995,1.0,45.0
35.0,59.79999999999995,1.0,46.0
35.0,61.099999999999945,1.0,47.0
35.0,62.39999999999994,1.0,48.0
35.0,63.69999999999994,1.0,49.0
35.0,64.99999999999994,1.0,50.0
35.0,66.29999999999994,1.0,51.0
35.325,67.27499999999993,1.0,52.0
35.893750000000004,68.00624999999994,1.0,53.0
36.6453125,68.55468749999994,1.0,54.0
37.533984375,68.96601562499994,1.0,55.0
38.525488281250006,69.27451171874993,1.0,56.0
39.59411621093751,69.50588378906244,1.0,57.0
40.72058715820313,69.67941284179682,1.0,58.0
41.89044036865235,69.8095596313476,1.0,59.0
43.092830276489266,69.90716972351068,1.0,60.0
44.31962270736695,69.980377292633,1.0,61.0
45.564717030525216,70.03528296947474,1.0,62.0
46.823537772893914,70.07646222710603,1.0,63.0
48.09265332967044,70.1073466703295,1.0,64.0
49.369489997252835,70.13051000274712,1.0,65.0
50.65211749793963,70.14788250206033,1.0,66.0
51.939088123454724,70.16091187654523,1.0,67.0
53.22931609259105,70.1706839074089,1.0,68.0
54.52198706944329,70.17801293055666,1.0,69.0
55.81649030208247,70.18350969791749,1.0,70.0
57.11236772656186,70.1876322734381,1.0,71.0
58.4092757949214,70.19072420507855,1.0,72.0
59.706956846191055,70.1930431538089,1.0,73.0
61.005217634643294,70.19478236535666,1.0,74.0
62.30391322598248,70.19608677401747,1.0,75.0
63.60293491948686,70.19706508051308,1.0,76.0
64.90220118961516,70.1977988103848,1.0,77.0
66.20165089221138,70.19834910778857,1.0,78.0
67.50123816915854,70.1987618308414,1.0,79.0
68.80092862686891,70.19907137313103,1.0,80.0
70.10069647015169,70.19930352984825,1.0,81.0
71.40052235261378,70.19947764738616,1.0,82.0
72.70039176446033,70.1996082355396,1.0,83.0
74.00029382334526,70.19970617665467,1.0,84.0
75.30022036750896,70.19977963249099,1.0,85.0
76.60016527563172,70.19983472436822,1.0,86.0
77.9001239567238,70.19987604327613,1.0,87.0
79.20009296754286,70.19990703245708,1.0,88.0
80.50006972565716,70.19993027434279,1.0,89.0
81.80005229424287,70.19994770575707,1.0,90.0
83.10003922068216,70.19996077931778,1.0,91.0
84.40002941551163,70.19997058448831,1.0,92.0
85.70002206163373,70.19997793836622,1.0,93.0
87.00001654622531,70.19998345377464,1.0,94.0
88.300012409669,70.19998759033095,1.0,95.0
89.60000930725175,70.19999069274819,1.0,96.0
90.90000698043882,70.19999301956112,1.0,97.0
92.20000523532912,70.19999476467082,1.0,98.0
93.50000392649684,70.19999607350309,1.0,99.0
94.80000294487265,70.1999970551273,1.0,100.0
45.0,0.0,2.0,0.0
45.0,1.0,2.0,1.0
45.0,2.0,2.0,2.0
45.0,3.0,2.0,3.0
45.0,4.0,2.0,4.0
45.0,5.0,2.0,5.0
45.0,6.0,2.0,6.0
45.0,7.0,2.0,7.0
45.0,8.0,2.0,8.0
45.0,9.0,2.0,9.0
45.0,10.0,2.0,10.0
45.0,11.0,2.0,11.0
45.0,12.0,2.0,12.0
45.0,13.0,2.0,13.0
45.0,14.0,2.0,14.0
45.0,15.0,2.0,15.0
45.0,16.0,2.0,16.0
45.0,17.0,2.0,17.0
45.0,18.0,2.0,18.0
45.0,19.0,2.0,19.0
45.0,20.0,2.0,20.0
45.0,21.0,2.0,21.0
45.0,22.0,2.0,22.0
45.0,23.0,2.0,23.0
45.0,24.0,2.0,24.0
45.0,25.0,2.0,25.0
45.0,26.0,2.0,26.0
45.0,27.0,2.0,27.0
45.0,28.0,2.0,28.0
45.0,29.0,2.0,29.0
45.0,30.0,2.0,30.0
45.0,31.0,2.0,31.0
45.0,32.0,2.0,32.0
45.0,33.0,2.0,33.0
45.0,34.0,2.0,34.0
45.0,35.0,2.0,35.0
45.0,36.0,2.0,36.0
45.0,37.0,2.0,37.0
45.0,38.0,2.0,38.0
45.0,39.0,2.0,39.0
45.0,40.0,2.0,40.0
45.0,41.0,2.0,41.0
45.1,41.9,2.0,42.0
45.29,42.71,2.0,43.0
45.561,43.439,2.0,44.0
45.9049,44.0951,2.0,45.0
46.314409999999995,44.685590000000005,2.0,46.0
46.782968999999994,45.217031000000006,2.0,47.0
47.3046721,45.69532790000001,2.0,48.0
47.874204889999994,46.12579511000001,2.0,49.0
