x,y,id,time
20.0,0.0,0.0,0.0
20.0,1.0,0.0,1.0
20.0,2.0,0.0,2.0
20.0,3.0,0.0,3.0
20.0,4.0,0.0,4.0
20.0,5.0,0.0,5.0
20.0,6.0,0.0,6.0
20.0,7.0,0.0,7.0
20.0,8.0,0.0,8.0
20.0,9.0,0.0,9.0
20.0,10.0,0.0,10.0
20.0,11.0,0.0,11.0
20.0,12.0,0.0,12.0
20.0,13.0,0.0,13.0
20.0,14.0,0.0,14.0
20.0,15.0,0.0,15.0
20.0,16.0,0.0,16.0
20.0,17.0,0.0,17.0
20.0,18.0,0.0,18.0
20.0,19.0,0.0,19.0
20.0,20.0,0.0,20.0
20.0,21.0,0.0,21.0
20.0,22.0,0.0,22.0
20.0,23.0,0.0,23.0
20.0,24.0,0.0,24.0
20.0,25.0,0.0,25.0
20.0,26.0,0.0,26.0
20.0,27.0,0.0,27.0
20.0,28.0,0.0,28.0
20.0,29.0,0.0,29.0
20.0,30.0,0.0,30.0
20.0,31.0,0.0,31.0
20.0,32.0,0.0,32.0
20.0,33.0,0.0,33.0
20.0,34.0,0.0,34.0
20.0,35.0,0.0,35.0
20.0,36.0,0.0,36.0
20.0,37.0,0.0,37.0
20.0,38.0,0.0,38.0
20.0,39.0,0.0,39.0
20.0,40.0,0.0,40.0
20.0,41.0,0.0,41.0
20.0,42.0,0.0,42.0
20.0,43.0,0.0,43.0
20.0,44.0,0.0,44.0
20.0,45.0,0.0,45.0
20.0,46.0,0.0,46.0
20.0,47.0,0.0,47.0
20.0,48.0,0.0,48.0
20.0,49.0,0.0,49.0
20.0,50.0,0.0,50.0
20.0,51.0,0.0,51.0
20.0,52.0,0.0,52.0
20.0,53.0,0.0,53.0
20.0,54.0,0.0,54.0
20.0,55.0,0.0,55.0
20.0,56.0,0.0,56.0
20.0,57.0,0.0,57.0
20.0,58.0,0.0,58.0
20.0,59.0,0.0,59.0
20.0,60.0,0.0,60.0
30.0,0.0,1.0,10.0
30.0,1.0,1.0,11.0
30.0,2.0,1.0,12.0
30.0,3.0,1.0,13.0
30.0,4.0,1.0,14.0
30.0,5.0,1.0,15.0
30.0,6.0,1.0,16.0
30.0,7.0,1.0,17.0
30.0,8.0,1.0,18.0
30.0,9.0,1.0,19.0
30.0,10.0,1.0,20.0
30.0,11.0,1.0,21.0
30.0,12.0,1.0,22.0
30.0,13.0,1.0,23.0
30.0,14.0,1.0,24.0
30.0,15.0,1.0,25.0
30.0,16.0,1.0,26.0
30.0,17.0,1.0,27.0
30.0,18.0,1.0,28.0
30.0,19.0,1.0,29.0
30.0,20.0,1.0,30.0
30.0,21.0,1.0,31.0
30.0,22.0,1.0,32.0
30.0,23.0,1.0,33.0
30.0,24.0,1.0,34.0
30.0,25.0,1.0,35.0
30.0,26.0,1.0,36.0
30.0,27.0,1.0,37.0
30.0,28.0,1.0,38.0
30.0,29.0,1.0,39.0
30.0,30.0,1.0,40.0
30.0,31.0,1.0,41.0
30.0,32.0,1.0,42.0
30.0,33.0,1.0,43.0
30.0,34.0,1.0,44.0
30.0,35.0,1.0,45.0
30.0,36.0,1.0,46.0
30.0,37.0,1.0,47.0
30.0,38.0,1.0,48.0
30.0,39.0,1.0,49.0
30.0,40.0,1.0,50.0
30.0,41.0,1.0,51.0
30.0,42.0,1.0,52.0
30.0,43.0,1.0,53.0
30.0,44.0,1.0,54.0
30.0,45.0,1.0,55.0
30.0,46.0,1.0,56.0
30.0,47.0,1.0,57.0
30.0,48.0,1.0,58.0
30.0,49.0,1.0,59.0
30.0,50.0,1.0,60.0
30.0,51.0,1.0,61.0
30.0,52.0,1.0,62.0
30.0,53.0,1.0,63.0
30.0,54.0,1.0,64.0
30.0,55.0,1.0,65.0
30.0,56.0,1.0,66.0
30.0,57.0,1.0,67.0
30.0,58.0,1.0,68.0
30.0,59.0,1.0,69.0
30.0,60.0,1.0,70.0
30.0,61.0,1.0,71.0
30.0,62.0,1.0,72.0
30.0,63.0,1.0,73.0
30.0,64.0,1.0,74.0
30.0,65.0,1.0,75.0
30.0,66.0,1.0,76.0
30.0,67.0,1.0,77.0
30.0,68.0,1.0,78.0
30.0,69.0,1.0,79.0
30.0,70.0,1.0,80.0
30.0,71.0,1.0,81.0
30.0,72.0,1.0,82.0
30.0,73.0,1.0,83.0
30.0,74.0,1.0,84.0
30.0,75.0,1.0,85.0
30.0,76.0,1.0,86.0
30.0,77.0,1.0,87.0
30.0,78.0,1.0,88.0
30.0,79.0,1.0,89.0
30.0,80.0,1.0,90.0
50.0,15.0,2.0,20.0
50.0,16.0,2.0,21.0
50.0,17.0,2.0,22.0
50.0,18.0,2.0,23.0
50.0,19.0,2.0,24.0
50.0,20.0,2.0,25.0
50.0,21.0,2.0,26.0
50.0,22.0,2.0,27.0
50.0,23.0,2.0,28.0
50.0,24.0,2.0,29.0
50.0,25.0,2.0,30.0
50.0,26.0,2.0,31.0
50.0,27.0,2.0,32.0
50.0,28.0,2.0,33.0
50.0,29.0,2.0,34.0
50.0,30.0,2.0,35.0
50.0,31.0,2.0,36.0
50.0,32.0,2.0,37.0
50.0,33.0,2.0,38.0
50.0,34.0,2.0,39.0
50.0,35.0,2.0,40.0
50.0,36.0,2.0,41.0
50.0,37.0,2.0,42.0
50.0,38.0,2.0,43.0
50.0,39.0,2.0,44.0
50.0,40.0,2.0,45.0
50.0,41.0,2.0,46.0
50.0,42.0,2.0,47.0
50.0,43.0,2.0,48.0
50.0,44.0,2.0,49.0
50.0,45.0,2.0,50.0
50.0,46.0,2.0,51.0
50.0,47.0,2.0,52.0
50.0,48.0,2.0,53.0
50.0,49.0,2.0,54.0
50.0,50.0,2.0,55.0
50.0,51.0,2.0,56.0
50.0,52.0,2.0,57.0
50.0,53.0,2.0,58.0
50.0,54.0,2.0,59.0
50.0,55.0,2.0,60.0
50.0,56.0,2.0,61.0
50.0,57.0,2.0,62.0
50.0,58.0,2.0,63.0
50.0,59.0,2.0,64.0
50.0,60.0,2.0,65.0
50.0,61.0,2.0,66.0
50.0,62.0,2.0,67.0
50.0,63.0,2.0,68.0
50.0,64.0,2.0,69.0
50.0,65.0,2.0,70.0
50.0,66.0,2.0,71.0
50.0,67.0,2.0,72.0
50.0,68.0,2.0,73.0
50.0,69.0,2.0,74.0
50.0,70.0,2.0,75.0
50.0,71.0,2.0,76.0
50.0,72.0,2.0,77.0
50.0,73.0,2.0,78.0
50.0,74.0,2.0,79.0
50.0,75.0,2.0,80.0
50.0,76.0,2.0,81.0
50.0,77.0,2.0,82.0
50.0,78.0,2.0,83.0
50.0,79.0,2.0,84.0
50.0,80.0,2.0,85.0
50.0,81.0,2.0,86.0
50.0,82.0,2.0,87.0
50.0,83.0,2.0,88.0
50.0,84.0,2.0,89.0
50.0,85.0,2.0,90.0
50.0,86.0,2.0,91.0
50.0,87.0,2.0,92.0
50.0,88.0,2.0,93.0
50.0,89.0,2.0,94.0
50.0,90.0,2.0,95.0
80.0,10.0,3.0,30.0
80.0,11.0,3.0,31.0
80.0,12.0,3.0,32.0
80.0,13.0,3.0,33.0
80.0,14.0,3.0,34.0
80.0,15.0,3.0,35.0
80.0,16.0,3.0,36.0
80.0,17.0,3.0,37.0
80.0,18.0,3.0,38.0
80.0,19.0,3.0,39.0
80.0,20.0,3.0,40.0
80.0,21.0,3.0,41.0
80.0,22.0,3.0,42.0
80.0,23.0,3.0,43.0
80.0,24.0,3.0,44.0
80.0,25.0,3.0,45.0
80.0,26.0,3.0,46.0
80.0,27.0,3.0,47.0
80.0,28.0,3.0,48.0
80.0,29.0,3.0,49.0
80.0,30.0,3.0,50.0
80.0,31.0,3.0,51.0
80.0,32.0,3.0,52.0
80.0,33.0,3.0,53.0
80.0,34.0,3.0,54.0
80.0,35.0,3.0,55.0
80.0,36.0,3.0,56.0
80.0,37.0,3.0,57.0
80.0,38.0,3.0,58.0
80.0,39.0,3.0,59.0
80.0,40.0,3.0,60.0
80.0,41.0,3.0,61.0
80.0,42.0,3.0,62.0
80.0,43.0,3.0,63.0
80.0,44.0,3.0,64.0
80.0,45.0,3.0,65.0
80.0,46.0,3.0,66.0
80.0,47.0,3.0,67.0
80.0,48.0,3.0,68.0
80.0,49.0,3.0,69.0
80.0,50.0,3.0,70.0
80.0,51.0,3.0,71.0
80.0,52.0,3.0,72.0
80.0,53.0,3.0,73.0
80.0,54.0,3.0,74.0
80.0,55.0,3.0,75.0
80.0,56.0,3.0,76.0
80.0,57.0,3.0,77.0
80.0,58.0,3.0,78.0
80.0,59.0,3.0,79.0
80.0,60.0,3.0,80.0
80.0,61.0,3.0,81.0
80.0,62.0,3.0,82.0
80.0,63.0,3.0,83.0
80.0,64.0,3.0,84.0
80.0,65.0,3.0,85.0
80.0,66.0,3.0,86.0
80.0,67.0,3.0,87.0
80.0,68.0,3.0,88.0
80.0,69.0,3.0,89.0
80.0,70.0,3.0,90.0
80.0,71.0,3.0,91.0
80.0,72.0,3.0,92.0
80.0,73.0,3.0,93.0
80.0,74.0,3.0,94.0
80.0,75.0,3.0,95.0
80.0,76.0,3.0,96.0
80.0,77.0,3.0,97.0
80.0,78.0,3.0,98.0
80.0,79.0,3.0,99.0
