x,y,id,time
80.0,0.0,0.0,0.0
79.25,1.0,0.0,1.0
78.5,2.0,0.0,2.0
77.75,3.0,0.0,3.0
77.0,4.0,0.0,4.0
76.25,5.0,0.0,5.0
75.5,6.0,0.0,6.0
74.75,7.0,0.0,7.0
74.0,8.0,0.0,8.0
73.25,9.0,0.0,9.0
72.5,10.0,0.0,10.0
71.75,11.0,0.0,11.0
71.0,12.0,0.0,12.0
70.25,13.0,0.0,13.0
69.5,14.0,0.0,14.0
68.75,15.0,0.0,15.0
68.0,16.0,0.0,16.0
67.25,17.0,0.0,17.0
66.5,18.0,0.0,18.0
65.75,19.0,0.0,19.0
65.0,20.0,0.0,20.0
64.25,21.0,0.0,21.0
63.5,22.0,0.0,22.0
62.75,23.0,0.0,23.0
62.0,24.0,0.0,24.0
61.25,25.0,0.0,25.0
60.5,26.0,0.0,26.0
59.75,27.0,0.0,27.0
59.0,28.0,0.0,28.0
58.25,29.0,0.0,29.0
57.5,30.0,0.0,30.0
56.75,31.0,0.0,31.0
56.0,32.0,0.0,32.0
55.25,33.0,0.0,33.0
54.5,34.0,0.0,34.0
53.75,35.0,0.0,35.0
53.0,36.0,0.0,36.0
52.25,37.0,0.0,37.0
51.5,38.0,0.0,38.0
50.75,39.0,0.0,39.0
50.0,40.0,0.0,40.0
49.25,41.0,0.0,41.0
48.5,42.0,0.0,42.0
47.75,43.0,0.0,43.0
47.0,44.0,0.0,44.0
46.25,45.0,0.0,45.0
45.5,46.0,0.0,46.0
44.75,47.0,0.0,47.0
44.0,48.0,0.0,48.0
43.25,49.0,0.0,49.0
42.5,50.0,0.0,50.0
41.75,51.0,0.0,51.0
41.0,52.0,0.0,52.0
40.25,53.0,0.0,53.0
39.5,54.0,0.0,54.0
38.75,55.0,0.0,55.0
38.0,56.0,0.0,56.0
37.25,57.0,0.0,57.0
36.5,58.0,0.0,58.0
35.75,59.0,0.0,59.0
35.0,60.0,0.0,60.0
34.25,61.0,0.0,61.0
33.5,62.0,0.0,62.0
32.75,63.0,0.0,63.0
32.0,64.0,0.0,64.0
31.25,65.0,0.0,65.0
30.5,66.0,0.0,66.0
29.75,67.0,0.0,67.0
29.0,68.0,0.0,68.0
28.25,69.0,0.0,69.0
27.5,70.0,0.0,70.0
26.75,71.0,0.0,71.0
26.0,72.0,0.0,72.0
25.25,73.0,0.0,73.0
24.5,74.0,0.0,74.0
23.75,75.0,0.0,75.0
23.0,76.0,0.0,76.0
22.25,77.0,0.0,77.0
21.5,78.0,0.0,78.0
20.75,79.0,0.0,79.0
20.0,80.0,0.0,80.0
19.25,81.0,0.0,81.0
18.5,82.0,0.0,82.0
17.75,83.0,0.0,83.0
17.0,84.0,0.0,84.0
16.25,85.0,0.0,85.0
15.5,86.0,0.0,86.0
14.75,87.0,0.0,87.0
14.0,88.0,0.0,88.0
13.25,89.0,0.0,89.0
12.5,90.0,0.0,90.0
11.75,91.0,0.0,91.0
11.0,92.0,0.0,92.0
10.25,93.0,0.0,93.0
9.5,94.0,0.0,94.0
8.75,95.0,0.0,95.0
8.0,96.0,0.0,96.0
7.25,97.0,0.0,97.0
6.5,98.0,0.0,98.0
5.75,99.0,0.0,99.0
5.0,100.0,0.0,100.0
85.0,0.0,1.0,0.0
84.5,1.0,1.0,1.0
84.0,2.0,1.0,2.0
83.5,3.0,1.0,3.0
83.0,4.0,1.0,4.0
82.5,5.0,1.0,5.0
82.0,6.0,1.0,6.0
81.5,7.0,1.0,7.0
81.0,8.0,1.0,8.0
80.5,9.0,1.0,9.0
80.0,10.0,1.0,10.0
79.5,11.0,1.0,11.0
79.0,12.0,1.0,12.0
78.5,13.0,1.0,13.0
78.0,14.0,1.0,14.0
77.5,15.0,1.0,15.0
77.0,16.0,1.0,16.0
76.5,17.0,1.0,17.0
76.0,18.0,1.0,18.0
75.5,19.0,1.0,19.0
75.0,20.0,1.0,20.0
74.5,21.0,1.0,21.0
74.0,22.0,1.0,22.0
73.5,23.0,1.0,23.0
73.0,24.0,1.0,24.0
72.5,25.0,1.0,25.0
72.0,26.0,1.0,26.0
71.5,27.0,1.0,27.0
71.0,28.0,1.0,28.0
70.5,29.0,1.0,29.0
