time_s,r_x_km,r_y_km,r_z_km,v_x_kms,v_y_kms,v_z_kms,rho_x_km,rho_y_km,rho_z_km,rho_dot_x_kms,rho_dot_y_kms,rho_dot_z_kms
0.0,42164.13999999872,-0.8,0.3,2.9168494171857805e-05,3.074661179628586,0.0,-1.280568540096283e-09,-0.8,0.3,-2.9168494171857825e-05,1.8708346327452045e-13,0.0
60.0,42163.73816116824,183.6790898307351,0.29999712823080615,-0.013423775089687413,3.0746320046726434,-9.572548907688385e-08,-0.0017501050929363928,-0.7999923425074263,0.29999712823080615,-2.9168206740498753e-05,2.5524915232307764e-07,-9.572548907688385e-08
120.0,42162.529152093506,368.15466336274017,0.2999885129777219,-0.026876463396618457,3.0745439698553994,-1.9144915760162203e-07,-0.003500174914604282,-0.7999693702003239,0.2999885129777219,-2.9167361025521934e-05,5.10493192780527e-07,-1.9144915760162203e-07
180.0,42160.51299581633,552.6231890488077,0.2999741544049538,-0.04032863892084495,3.074397076846944,-2.871691731353035e-07,-0.00525017724604675,-0.7999310835207208,0.2999741544049538,-2.9165957043288368e-05,7.657274221609448e-07,-2.871691731353035e-07
240.0,42157.689730828606,737.0811354757277,0.29995405278665294,-0.05378004416627122,3.0741913284437574,-3.8288370330798704e-07,-0.007000078594972558,-0.7998774832036705,0.29995405278665294,-2.916399482083721e-05,1.020946955800019e-06,-3.8288370330798704e-07
300.0,42154.0594110716,921.5249714318693,0.2999282085069095,-0.06723042165140782,3.073926728568656,-4.785909158537547e-07,-0.008749845465403444,-0.7998085702776817,0.2999282085069095,-2.9161474395893097e-05,1.2761469097503854e-06,-4.785909158537547e-07
360.0,42149.6221059349,1105.9511659747589,0.2998966220597457,-0.0806795139142969,3.0736032822707187,-5.742889786457639e-07,-0.010499444354002699,-0.7997243460639131,0.2998966220597457,-2.9158395816801137e-05,1.5313223999527874e-06,-5.742889786457639e-07
420.0,42144.377900255095,1290.356188498653,0.2998592940491064,-0.09412706351743713,3.0732209957251935,-6.699760597312963e-07,-0.01224884179009755,-0.79962481217687,0.2998592940491064,-2.91547591426506e-05,1.7864685432630278e-06,-6.699760597312963e-07
480.0,42138.32689431418,1474.7365088021056,0.2998162251888472,-0.1075728130527083,3.072779876233378,-7.656503273668045e-07,-0.013998004295590743,-0.7995099705230332,0.2998162251888472,-2.915056444312119e-05,2.041580457521534e-06,-7.656503273668045e-07
540.0,42131.46920383763,1659.0885971555263,0.2997674163027216,-0.12101650514629521,3.072279932222483,-8.613099500529533e-07,-0.01574689837410239,-0.7993798233039255,0.2997674163027216,-2.914581179870703e-05,2.2966532588694057e-06,-8.613099500529533e-07
600.0,42123.80495999219,1843.408924368731,0.2997128683243645,-0.13445788246361104,3.0717211732454714,-9.56953096569658e-07,-0.017495490558107115,-0.7992343730116805,0.2997128683243645,-2.914050130047432e-05,2.5516820659631774e-06,-9.56953096569658e-07
660.0,42115.33430938337,2027.693961858481,0.2996525822972749,-0.14789668771421988,3.0711036099808773,-1.0525779360111161e-06,-0.019243747383548507,-0.7990736224327656,0.2996525822972749,-2.9134633050098283e-05,2.8066619984449864e-06,-1.0525779360111161e-06
720.0,42106.05741405269,2211.9401817160124,0.299586559374796,-0.16133266365675863,3.070427254232603,-1.1481826378208333e-06,-0.02099163537157362,-0.7988975746473226,0.299586559374796,-2.9128207160179632e-05,3.061588175513922e-06,-1.1481826378208333e-06
780.0,42095.974451474525,2396.1440567745503,0.2995148008200927,-0.1747655531038576,3.069692118929694,-1.2437653718266444e-06,-0.022739121075665697,-0.7987062330260486,0.2995148008200927,-2.9121223753702386e-05,3.316455718348527e-06,-1.2437653718266444e-06
840.0,42085.08561455275,2580.302060676812,0.29943730800612817,-0.18819509892706054,3.068898218126094,-1.3393243082757248e-06,-0.02448617107072517,-0.7984996012317721,0.29943730800612817,-2.9113682964309947e-05,3.5712597514310566e-06,-1.3393243082757248e-06
900.0,42073.391111617086,2764.4106679424895,0.29935408241563705,-0.20162104406174314,3.068045567000376,-1.4348576178695955e-06,-0.026232751891301375,-0.7982776832236214,0.29935408241563705,-2.9105584936549602e-05,3.825995396152544e-06,-1.4348576178695955e-06
