time_s,r_x_km,r_y_km,r_z_km,v_x_kms,v_y_kms,v_z_kms,rho_x_km,rho_y_km,rho_z_km,rho_dot_x_kms,rho_dot_y_kms,rho_dot_z_kms
0.0,42164.14,0.0,0.0,3.1991540401728997e-06,3.0746663364596016,-7.115580889279648e-06,0.0,0.0,0.0,3.1991540401728997e-06,5.1568311093825866e-06,-7.115580889279648e-06
3600.0,40719.55368506685,10942.097226077003,-0.025322848927620652,-0.7979370692326935,2.9693242172317365,-6.871773700618742e-06,0.016230741362345005,0.014708527673346882,-0.025322848927620652,5.766089810245296e-06,2.789689989506671e-06,-6.871773700618742e-06
7200.0,36484.75083903383,21134.410866052258,-0.04891037609759182,-1.5412050487619673,2.6605142943873017,-6.157055317726809e-06,0.04104072813900034,0.0185808025864543,-0.04891037609759182,7.93800210890552e-06,-8.287086366545651e-07,-6.157055317726809e-06
10800.0,29749.88918309844,29878.52119292657,-0.06914614660245443,-2.1788728671690656,2.1693917018706186,-5.020391396577401e-06,0.07273025257847852,0.007534961315154428,-0.06914614660245443,9.566078782350756e-06,-5.450516919116998e-06,-5.020391396577401e-06
14400.0,20976.433907347924,36575.22020943342,-0.08464336052233137,-2.667244581481198,1.5296024140912483,-3.5396586057632053e-06,0.10912817790676768,-0.02148899418933585,-0.08464336052233137,1.053873230924509e-05,-1.0759138492968375e-05,-3.5396586057632053e-06
18000.0,10765.552905844235,40765.56934172481,-0.09433988338943429,-2.9728498048261556,0.7849803049171,-1.8163138658226628e-06,0.14774056613179337,-0.07031948747643808,-0.09433988338943429,1.0789248791632057e-05,-1.639089053318672e-05,-1.8163138658226628e-06
21600.0,-183.06146304548312,42162.354935814416,-0.09757104991075527,-3.074738096724607,-0.013453924121811312,3.1552379227741406e-08,0.18592145573979885,-0.1394279415046783,-0.09757104991075527,1.0300373408877323e-05,-2.1959897737773732e-05,3.1552379227741406e-08
25200.0,-11119.127414160472,40669.78466822064,-0.09411524846270977,-2.965916699883869,-0.8109870495924407,1.8773045381743947e-06,0.22105412265425078,-0.22789626375163308,-0.09411524846270977,9.105514579530575e-06,-2.7084520008518057e-05,1.8773045381743947e-06
28800.0,-21293.184516543064,36390.07136622245,-0.08420915363466103,-2.653832553749946,-1.5529619730275492,3.5944388830915646e-06,0.25073042146151864,-0.3334795261236069,-0.08420915363466103,7.286478548496057e-06,-3.141350694783923e-05,3.5944388830915646e-06
32400.0,-30007.958581869163,29616.447873527206,-0.06853155087937975,-2.1598647974800316,-2.18852403758885,5.065255031701198e-06,0.27291591440266455,-0.4527596064889358,-0.06853155087937975,4.967883233036591e-06,-3.4650086564460856e-05,5.065255031701198e-06
36000.0,-36666.15936892839,20813.086406755938,-0.04815684970683358,-1.517861776216082,-2.6741080944797955,6.188927172759612e-06,0.2860894463768196,-0.5813793157414423,-0.04815684970683358,2.3086287855453545e-06,-3.6572332516610026e-05,6.188927172759612e-06
39600.0,-40811.43181459519,10583.29462537564,-0.024481462362002077,-0.7718222408590606,-2.976426807132281,6.888420614810471e-06,0.28934756125832994,-0.7143409950518709,-0.024481462362002077,-5.089934819637761e-07,-3.7048406181466135e-05,6.888420614810471e-06
43200.0,-42159.64923837781,-371.833573211676,0.0008719098691626448,0.027120570672071194,-3.074754649693356,7.1157778845712885e-06,0.2824665595070947,-0.8463491185851825,0.0008719098691626448,-3.2918070517020563e-06,-3.6045619966503215e-05,7.1157778845712885e-06
46800.0,-40618.3987762128,-11301.477587191235,0.026165520005511495,0.8242051007945772,-2.96235031451888,6.855410326063279e-06,0.2659179068905199,-0.9721733902462225,0.026165520005511495,-5.8490103983341994e-06,-3.363269313410584e-05,6.855410326063279e-06
50400.0,-36293.319840447046,-21456.562720966962,0.04966571565989852,1.564797064371037,-2.6469194862557095,6.125168303231815e-06,0.2408359183358833,-1.0870073972781074,0.04966571565989852,-8.00527696454901e-06,-2.997504134734665e-05,6.125168303231815e-06
54000.0,-29480.859764255503,-30141.113287583692,0.06976179902347028,2.198136339011897,-2.1500860543084936,4.97511616381516e-06,0.20893993469631988,-1.1867981806585857,0.06976179902347028,-9.61279069941933e-06,-2.532342319914804e-05,4.97511616381516e-06
57600.0,-20647.94441456719,-36759.96177028736,0.08507644842200124,2.680817617917743,-1.5059081955957911,3.4840963718800273e-06,0.1724163492198432,-1.2685240852196462,0.08507644842200124,-1.0561386993865074e-05,-1.9996726588347407e-05,3.4840963718800273e-06
61200.0,-10399.96071132898,-40859.540701063226,0.094560124824137,2.979765735090929,-0.7585415705180241,1.7543195598537567e-06,0.13376860881643393,-1.3304018206567516,0.094560124824137,-1.0786101222920924e-05,-1.436008266247128e-05,1.7543195598537567e-06
64800.0,560.7496047242373,-42158.96036483928,0.09756298985136125,3.0745015546750567,0.040789469142094664,-9.564697526105441e-08,0.09564551286489803,-1.3720085468604755,0.09756298985136125,-1.0271607977352413e-05,-8.799816082949151e-06,-9.564697526105441e-08
68400.0,11483.035331075222,-40569.24394757345,0.09387940956480288,2.9585433422685146,0.8373043367638943,-1.9390100373602235e-06,0.06065961344633486,-1.3943106506813705,0.09387940956480288,-9.053250338277747e-06,-3.6969558277951444e-06,-1.9390100373602235e-06
72000.0,21618.417073180823,-36199.40574663148,0.08376200276335877,2.639848136331981,1.5764210650555683,-3.6494420240599197e-06,0.031208181388532975,-1.3995972972989184,0.08376200276335877,-7.214594411258378e-06,5.988741564338157e-07,-3.6494420240599197e-06
75600.0,30272.37501962794,-29348.96111332133,0.06790428305122687,2.1402636321678234,2.20749603253202,-5.109737000275269e-06,0.009309004450722433,-1.3913233710014277,0.06790428305122687,-4.881683062147806e-06,3.7933957812640047e-06,-5.109737000275269e-06
79200.0,36851.929878520394,-20487.386634184204,0.047393096367552456,1.4940289014005643,2.687292482231506,-6.219838579091047e-06,-0.0035377536362275423,-1.3738726199827185,0.047393096367552456,-2.21438794219657e-06,5.667813416665174e-06,-6.219838579091047e-06
82800.0,40906.26008730238,-10221.941956187193,0.02363412249550308,0.745427249173202,2.9829406924487634,-6.9036907089809915e-06,-0.006452205573874552,-1.3522572634240302,0.02363412249550308,6.045448247703764e-07,6.093774448227022e-06,-6.9036907089809915e-06
86400.0,42157.577031068475,743.94019242349,-0.0017444504952359985,-0.054247738671749396,3.0741877004758003,-7.11444361096291e-06,0.0007650871801855086,-1.3317746425003711,-0.0017444504952359985,3.382005053804861e-06,5.0421375473058936e-06,-7.11444361096291e-06
90000.0,40520.14761674816,11658.84567711489,-0.027003480491488045,-0.8502052476822376,2.954783166629741,-6.8376598374962144e-06,0.017619510290324825,-1.3176444095739086,-0.027003480491488045,5.9277313396849094e-06,2.5849552523877896e-06,-6.8376598374962144e-06
93600.0,36106.164402021175,21774.85360132012,-0.05041201779882668,-1.5879091961025709,2.632906960931078,-6.09230201149824e-06,0.0429562745456215,-1.314651063116475,-0.05041201779882668,8.067326563654823e-06,-1.1094610205185055e-06,-6.09230201149824e-06
97200.0,29218.06237938732,30398.771605558377,-0.0703658902491143,-2.2168127459882743,2.130609370943984,-4.929435015637078e-06,0.07503945822058015,-1.3268162629326299,-0.0703658902491143,9.65419047299707e-06,-5.788055994917416e-06,-4.929435015637078e-06
100800.0,20327.807520116963,36939.62589719591,-0.0854976118222426,-2.6938201988231745,1.4823020857162879,-3.4287310964413385e-06,0.11167082238408019,-1.3571233301285113,-0.0854976118222426,1.0579556803741514e-05,-1.1130341503298747e-05,-3.4287310964413385e-06
104400.0,10044.572584762114,40949.15533480767,-0.09477009101752014,-2.986239586520572,0.7324028082320228,-1.6930161085228418e-06,0.15034029664000187,-1.4073127845642992,-0.09477009101752014,1.0779949755727977e-05,-1.6770325316317277e-05,-1.6930161085228418e-06
108000.0,-926.9898617344861,42152.53588555562,-0.09754771985200149,-3.074023816213656,-0.06770585153832356,1.587710929599442e-07,0.18839786561541766,-1.4777629357138766,-0.09754771985200149,1.0241548229048834e-05,-2.2321564028006224e-05,1.587710929599442e-07
111600.0,-11835.022900848204,40467.22848166417,-0.09363996809077257,-2.951146574041163,-0.8631955556774675,1.9997253415752993e-06,0.22323511297180693,-1.5674637450657318,-0.09363996809077257,9.001155038357741e-06,-2.7403630711245016e-05,1.9997253415752993e-06
115200.0,-21931.984661747272,36008.654787661624,-0.08331448607411661,-2.6260181359169317,-1.5995488726918448,3.7036708754617305e-06,0.2524639992495458,-1.6740858073820029,-0.08331448607411661,7.143698808324093e-06,-3.166818748588614e-05,3.7036708754617305e-06
