time_s,r_x_km,r_y_km,r_z_km,v_x_kms,v_y_kms,v_z_kms,rho_x_km,rho_y_km,rho_z_km,rho_dot_x_kms,rho_dot_y_kms,rho_dot_z_kms
0.0,42164.14000055098,0.0999999999939284,-0.04999999999865076,-3.646061771260851e-06,3.074661179588314,-2.6785465412070037e-11,5.509791662916541e-07,0.0999999999939284,-0.04999999999865076,3.6460617712608536e-06,-8.035660867395754e-11,-2.6785465412070037e-11
3600.0,40719.5292970289,10942.175441820915,-0.04828690436447621,-0.7979437257553891,2.969317334414616,9.462744960408596e-07,0.012976149378375712,0.09657357895709338,-0.04828690436447621,3.5211635151239325e-06,-1.8925455465417758e-06,9.462744960408596e-07
7200.0,36484.702954343666,21134.461653755898,-0.04326481097860021,-1.5412114742008252,2.6605059591806657,1.8277355467535818e-06,0.025062772159010947,0.08652960181187351,-0.04326481097860021,3.1550236782598324e-06,-3.655367481435153e-06,1.8277355467535818e-06
10800.0,29749.81820771811,29878.539228934453,-0.035277843610579014,-2.178879317142029,2.1693817699268485,2.583955534908797e-06,0.03543231591260935,0.0705561173931185,-0.035277843610579014,2.572711526412752e-06,-5.167778547194245e-06,2.583955534908797e-06
14400.0,20976.33939969202,36575.198610627354,-0.02487329789027956,-2.6672511923842395,1.5295901593487011,3.1631108068007264e-06,0.04337425175081065,0.04974741955380987,-0.02487329789027956,1.814102565799149e-06,-6.326151470736661e-06,3.1631108068007264e-06
18000.0,10765.434855417856,40765.49771301026,-0.01276415730572042,-2.972856128561811,0.7849645494415186,3.5255055421195968e-06,0.04834430228070563,0.025529136136868684,-0.01276415730572042,9.311534635977241e-07,-7.051097478321005e-06,3.5255055421195968e-06
21600.0,-183.19985970513198,42162.21841347741,0.00021974587593575002,-3.074742762629836,-0.013474396586908403,3.6462932013503577e-06,0.05000175322626557,-0.0004393866778216905,0.00021974587593575002,-1.5650989051613098e-08,-7.292909419622665e-06,3.6462932013503577e-06
25200.0,-11119.276219856732,40669.56481969387,0.013188584409012603,-2.9659173515661297,-0.8110128998636622,3.5171820119531522e-06,0.048232839020350915,-0.02637873626654604,0.013188584409012603,-9.61437381376617e-07,-7.03497609381733e-06,3.5171820119531522e-06
28800.0,-21293.323913509576,36389.74930172431,0.02525351320518268,-2.6538261356077273,-1.552992703253889,3.1470069010846703e-06,0.04315858917833512,-0.050511348269496624,0.02525351320518268,-1.8413874033456674e-06,-6.294931560920107e-06,3.1470069010846703e-06
32400.0,-30008.057371997213,29616.00925669381,0.03558759270929522,-2.159848166690766,-2.188557570353073,2.561127692950179e-06,0.03512658491440707,-0.07118333532029637,0.03558759270929522,-2.595181739912789e-06,-5.123457788247781e-06,2.561127692950179e-06
36000.0,-36666.176092187074,20812.527403837194,0.043482481453104335,-1.51783251783851,-2.6741406933840124,1.7996938181877365e-06,0.024687176631078653,-0.08697787569771619,0.043482481453104335,-3.1711390187545284e-06,-3.6008196399888005e-06,1.7996938181877365e-06
39600.0,-40811.31888513301,10582.627390619993,0.048397007481534485,-0.7717794936584267,-2.97645341880876,9.148937224035837e-07,0.012555782841476104,-0.09681237711425995,0.048397007481534485,-3.5297647068933747e-06,-1.8313675556832637e-06,9.148937224035837e-07
43200.0,-42159.359749566356,-372.57737974941875,0.04999428303710316,0.027175491853824056,-3.0747696413640253,-3.262279930380526e-08,-0.0004361493760054702,-0.10001273674915369,0.04999428303710316,-3.646464756542445e-06,6.361618389052213e-08,-3.262279930380526e-08
46800.0,-40617.89489957928,-11302.246466646655,0.04816481200820415,0.8242684663159907,-2.962348476388414,-9.779038982766744e-07,-0.013398157612413164,-0.0963595887538022,0.04816481200820415,-3.5132360833179743e-06,1.954236525460533e-06,-9.779038982766744e-07
50400.0,-36292.58123107742,-21457.28878497366,0.043034001407332864,1.5648629724492034,-2.6468970920110406,-1.8561508265160178e-06,-0.025441834273606714,-0.08610335532936819,0.043034001407332864,-3.1392166545590765e-06,3.7108978104350817e-06,-1.8561508265160178e-06
54000.0,-29479.890228042965,-30141.71927857078,0.034953560154272326,2.198197426876942,-2.150041746450705,-2.6071626262914437e-06,-0.035741754432805625,-0.06994706485945927,0.034953560154272326,-2.550057027447347e-06,5.213195292873749e-06,-2.6071626262914437e-06
57600.0,-20646.77534284316,-36760.3706400975,0.02447737638098308,2.680866117815444,-1.5058434930997564,-3.179464741842463e-06,-0.04359207352493406,-0.048998120397266455,0.02447737638098308,-1.7861570231679215e-06,6.358173810375358e-06,-3.179464741842463e-06
61200.0,-10398.650394432016,-40859.686139333375,0.012323531430878215,2.9797946688785015,-0.758460877296442,-3.5338378631936654e-06,-0.048454906604028264,-0.024692338680499755,0.012323531430878215,-8.998898887034882e-07,7.067385514446462e-06,-3.5338378631936654e-06
64800.0,562.1208539908932,-42158.79642581263,-0.0006749392883966729,3.0745058273930166,0.040879365525224615,-3.64600487623142e-06,-0.04999717105631318,0.0013045144564243604,-0.0006749392883966729,4.7993845035380136e-08,7.292262298671356e-06,-3.64600487623142e-06
68400.0,11484.37347696282,-40568.75209318889,-0.013627157168810468,2.9585205192480375,0.8373951737292258,-3.508292025678079e-06,-0.04811337253882968,0.027210924825947974,-0.013627157168810468,9.92534412198282e-07,7.01743567427551e-06,-3.508292025678079e-06
72000.0,21619.62465897478,-36198.59815990358,-0.025645463865277197,2.639798763461225,1.576504232010949,-3.1301511636981213e-06,-0.04293278289840578,0.05125172663652732,-0.025645463865277197,1.8690157887706582e-06,6.261778784951302e-06,-3.1301511636981213e-06
75600.0,30273.361731924124,-29347.87990286842,-0.03590625050149846,2.140191065138606,2.207563688295668,-2.537508281713773e-06,-0.03481053210607647,0.07177972359504967,-0.03590625050149846,2.6173980220746223e-06,5.077102184509092e-06,-2.537508281713773e-06
79200.0,36852.62171153414,-20486.099357071398,-0.043706385468599236,1.493938719555744,2.687338452171339,-1.77098396620827e-06,-0.024303238098049178,0.08738850614140665,-0.043706385468599236,3.1864258015591074e-06,3.544595674119068e-06,-1.77098396620827e-06
